Date,Close,High,Low,Total Market Value,Dividend Market Value
2017-11-27,6878.52,6897.43,6867.89,10313378858274.0,61952638.0
2017-11-24,6889.16,6890.02,6873.74,10329203578177.0,81506001.0
2017-11-22,6867.36,6874.52,6859.28,10295957714835.0,536745500.0
2017-11-21,6862.48,6862.66,6820.02,10291005448980.0,169687729.0
2017-11-20,6790.71,6795.83,6779.49,10182779035203.0,151733686.0
2017-11-17,6782.79,6797.75,6777.43,10178500304692.0,284443422.0
2017-11-16,6793.29,6806.67,6742.33,10188340117003.0,1953370735.0
2017-11-15,6706.21,6725.32,6667.31,10057674390967.0,3812742696.0
2017-11-14,6737.87,6743.63,6709.27,10102817998747.0,558522703.0
2017-11-13,6757.6,6766.3,6723.43,10131950455692.0,161394472.0
2017-11-10,6750.94,6757.34,6727.35,10121777361964.0,4092151149.0
2017-11-09,6750.05,6758.93,6687.28,10119742697296.0,295475931.0
2017-11-08,6789.12,6791.65,6753.34,10177185646619.0,148525071.0
2017-11-07,6767.78,6795.52,6750.35,10144223463834.0,92274303.0
2017-11-06,6786.44,6790.67,6763.17,10171912073734.0,1530639424.0
2017-11-03,6764.44,6765.14,6712.93,10138855574967.0,86744473.0
2017-11-02,6714.94,6719.97,6677.55,10064106108545.0,119841525.0
2017-11-01,6716.53,6759.66,6691.48,10065775318573.0,32948426.0
2017-10-31,6727.67,6737.75,6705.79,10078906953482.0,430301453.0
2017-10-30,6698.96,6727.39,6677.15,10035121947869.0,744381784.0
2017-10-27,6701.26,6708.13,6625.78,10037426894407.0,56938764.0
2017-10-26,6556.77,6582.76,6550.03,9819023159918.0,13151113.0
2017-10-25,6563.89,6600.64,6517.93,9829254466010.0,978768.0
2017-10-24,6598.43,6611.9,6582.06,9880847803044.0,107287902.0
2017-10-23,6586.83,6641.57,6581.15,9863996162176.0,11220207.0
2017-10-20,6629.05,6640.03,6622.92,9926706349900.0,274139067.0
2017-10-19,6605.07,6605.29,6558.53,9890699764569.0,27496995.0
2017-10-18,6624.22,6635.52,6613.55,9920360602165.0,1873680.0
2017-10-17,6623.66,6628.6,6613.21,9919487687013.0,12901979.0
2017-10-16,6624.0,6632.5,6607.03,9919637052710.0,7466019.0
2017-10-13,6605.8,6616.58,6602.2,9899178855550.0,10723695.0
2017-10-12,6591.51,6613.5,6586.32,9875353165616.0,129862541.0
2017-10-11,6603.55,6604.21,6577.99,9893262454290.0,5868799.0
2017-10-10,6587.25,6608.3,6561.78,9870432886135.0,15806295.0
2017-10-09,6579.73,6599.34,6572.44,9855755037559.0,0.0
2017-10-06,6590.18,6590.18,6566.84,9874186417432.0,141198695.0
2017-10-05,6585.36,6587.21,6547.65,9866198816917.0,126085248.0
2017-10-04,6534.63,6546.46,6513.12,9790145453002.0,1502742400.0
2017-10-03,6531.71,6532.18,6509.71,9791903265618.0,756890149.0
2017-10-02,6516.72,6527.22,6484.14,9768454679400.0,15849046.0
2017-09-29,6495.96,6497.98,6454.86,9742094009499.0,146729396.0
2017-09-28,6453.45,6456.23,6427.66,9677177505448.0,1205194572.0
2017-09-27,6453.26,6472.65,6405.36,9677041577138.0,36573697.0
2017-09-26,6380.16,6405.0,6364.57,9568514142366.0,7499583.0
2017-09-25,6370.59,6408.05,6343.96,9554667821305.0,106489226.0
2017-09-22,6426.92,6429.54,6400.81,9636871641845.0,31100217.0
2017-09-21,6422.69,6448.57,6405.3,9630286522349.0,106364036.0
2017-09-20,6456.04,6466.05,6414.23,9666061984610.0,56117009.0
2017-09-19,6461.32,6467.79,6446.75,9673781272330.0,197843942.0
2017-09-18,6454.64,6477.77,6438.41,9663683425941.0,422515340.0
2017-09-15,6448.47,6464.27,6419.65,9665824566859.0,113676123.0
2017-09-14,6429.08,6455.32,6424.04,9637310780403.0,1124792285.0
2017-09-13,6460.19,6460.42,6433.2,9683328232184.0,296128576.0
2017-09-12,6454.28,6455.02,6429.54,9688121137198.0,488720286.0
2017-09-11,6432.26,6439.11,6410.71,9655323103571.0,11009907.0
2017-09-08,6360.19,6391.41,6354.96,9546843290595.0,110738543.0
2017-09-07,6397.87,6413.07,6379.81,9603336219842.0,963065305.0
2017-09-06,6393.31,6407.4,6356.2,9594377064332.0,93443337.0
2017-09-05,6375.57,6426.51,6334.59,9577131457208.0,0.0
2017-09-01,6435.33,6449.65,6417.87,9658111173101.0,43915674.0
2017-08-31,6428.66,6435.27,6383.58,9649036284815.0,61858719.0
2017-08-30,6368.31,6374.47,6303.57,9558450631910.0,599950585.0
2017-08-29,6301.89,6311.26,6228.73,9458695555187.0,426241603.0
2017-08-28,6283.02,6292.26,6267.85,9444151314808.0,847121708.0
2017-08-25,6265.64,6308.72,6257.1,9417822711702.0,30271202.0
2017-08-24,6271.33,6302.85,6244.57,9426271972554.0,86992467.0
2017-08-23,6278.41,6291.3,6263.29,9437157034744.0,139735671.0
2017-08-22,6297.48,6302.84,6241.21,9461173489386.0,478931761.0
2017-08-21,6213.13,6226.93,6177.19,9334249248735.0,213293024.0
2017-08-18,6216.53,6254.22,6193.38,9338864859986.0,148294071.0
2017-08-17,6221.91,6334.23,6221.91,9345745555794.0,270482379.0
2017-08-16,6345.11,6374.56,6330.27,9530502464728.0,1515244172.0
2017-08-15,6333.01,6350.74,6324.75,9509562196138.0,3953161081.0
2017-08-14,6340.23,6346.83,6305.55,9520347165438.0,133525318.0
2017-08-11,6256.56,6266.89,6216.19,9394487380562.0,134213005.0
2017-08-10,6216.87,6318.28,6214.41,9334811686869.0,3861311834.0
2017-08-09,6352.33,6355.04,6309.44,9539835335454.0,145707549.0
2017-08-08,6370.46,6423.35,6355.88,9565377957234.0,634011284.0
2017-08-07,6383.77,6386.03,6356.23,9585628014576.0,96210447.0
2017-08-04,6351.56,6361.49,6329.73,9529493969059.0,97288424.0
2017-08-03,6340.34,6368.53,6331.14,9512512117569.0,1454740384.0
2017-08-02,6362.65,6394.21,6313.43,9545385475937.0,108335144.0
2017-08-01,6362.94,6375.75,6345.75,9541554789804.0,44368108.0
2017-07-31,6348.12,6396.59,6338.79,9519006871860.0,13665656.0
2017-07-28,6374.68,6379.7,6337.22,9557162343590.0,507021372.0
2017-07-27,6382.19,6460.84,6318.62,9567947983475.0,659636268.0
2017-07-26,6422.75,6432.38,6416.3,9628503420463.0,22969279.0
2017-07-25,6412.17,6425.45,6396.87,9611934036919.0,9576315.0
2017-07-24,6410.81,6417.7,6380.61,9609038898774.0,92564456.0
2017-07-21,6387.75,6388.78,6365.12,9574237776272.0,6679526.0
2017-07-20,6390.0,6398.26,6365.68,9577057890496.0,270329838.0
2017-07-19,6385.04,6387.73,6362.19,9569536254073.0,29244598.0
2017-07-18,6344.31,6344.55,6291.07,9513183822814.0,2072150.0
2017-07-17,6314.43,6330.97,6307.34,9468995894191.0,1070252.0
2017-07-14,6312.47,6321.76,6278.7,9465539473804.0,609551.0
2017-07-13,6274.44,6281.45,6251.26,9408516090951.0,16108120.0
2017-07-12,6261.17,6265.64,6236.82,9388428728681.0,115270529.0
2017-07-11,6193.3,6200.58,6149.87,9282676297661.0,790450.0
2017-07-10,6176.39,6191.27,6141.83,9256452140196.0,30280251.0
2017-07-07,6153.08,6164.94,6111.21,9221960927949.0,0.0
2017-07-06,6089.46,6127.98,6081.96,9127425440240.0,109117335.0
2017-07-05,6150.86,6163.62,6100.42,9219477667712.0,1541865554.0
2017-07-03,6110.06,6177.36,6106.12,9158837007657.0,92557540.0
2017-06-30,6140.42,6170.63,6129.04,9204893205893.0,781354259.0
2017-06-29,6144.35,6216.6,6087.81,9210522874939.0,98919461.0
2017-06-28,6234.41,6238.29,6144.8,9345094507626.0,1255221435.0
2017-06-27,6146.62,6234.32,6146.62,9213127397472.0,36238191.0
2017-06-26,6247.15,6303.45,6233.43,9364879106273.0,5573643.0
2017-06-23,6265.25,6269.37,6218.78,9392106039209.0,17738819.0
2017-06-22,6236.69,6257.68,6221.96,9354213947921.0,36953997.0
2017-06-21,6233.95,6236.66,6200.86,9349896653766.0,96642600.0
